Sender,Content,ContentCategories,MyPhysicalReaction,TextReactionofReciever,Day,TimeSent,Song
Isabel,TVD,TV Shows,Laughter,NA,1/30/21,10:47 AM,original sound
Ayashe,Miscellaneous ,Miscellaneous,Laughter,HAHA,1/30/21,11:27 AM,So who broke it? I'm not mad I just want to know sound
Ayashe,Miscellaneous ,Miscellaneous,Laughter,HAHA,1/30/21,11:27 AM,original sound
Ayashe,Tik Tok Influencers,Actors,Laughter,HAHA,1/30/21,11:29 AM,original sound
Ayashe,Harry Potter,Movies,Laughter,HAHA,1/30/21,11:34 AM,original sound
Ayashe,Miscellaneous ,Miscellaneous,Laughter,NA,1/30/21,10:32 PM,Disturbia Rihanna
Isabel,The Princess Diaries,Movies,Laughter,HAHA,1/31/21,1:07 AM,The Princess Diaries song
Isabel,Gilmore Girls,TV Shows,Smile,Heart,1/31/21,1:11 AM,original sound
Isabel,Sexy Back song girls,Miscellaneous,Laughter,HAHA,1/31/21,1:12 AM,"Justin Timberlake ""Sexy Back"""
Isabel,Miscellaneous ,Miscellaneous,Laughter,HAHA,1/31/21,1:13 AM,"Last but not least, I want to thank me"
Isabel,Armie Hammer,Actors,Laughter,HAHA,1/31/21,1:19 AM,original sound
Isabel,Olivia/Sabrina/Josh Drama,Actors,Laughter,NA,1/31/21,3:36 AM,original sound
Isabel,Tik Tok Influencers,Actors,Laughter,HAHA,1/31/21,1:53 PM,Slave for You Brittany Spears
Isabel,Avengers,Movies,Laughter,HAHA,1/31/21,1:57 PM,original sound
Ayashe,Miscellaneous ,Miscellaneous,Annoyance,HAHA,1/31/21,4:16 PM,original sound
Ayashe,One Direction,Music,Laughter,HAHA,1/31/21,4:18 PM,original sound
Ayashe,One Direction,Music,Laughter,HAHA,1/31/21,4:21 PM,original sound
Ayashe,Tik Tok Influencers,Actors,Laughter,Thumbs Up,1/31/21,6:20 PM,original sound
Ayashe,Tik Tok Influencers,Actors,Laughter,HAHA,1/31/21,7:46 PM,original sound
Ayashe,Ted Talk Filter,Miscellaneous,Laughter,HAHA,1/31/21,8:31 PM,original sound
Isabel,Ted Talk Filter,Miscellaneous,Laughter,HAHA,2/1/21,2:22 AM,original sound
Isabel,Ted Talk Filter,Miscellaneous,Laughter,HAHA,2/1/21,2:27 AM,original sound
Isabel,Ted Talk Filter,Miscellaneous,Laughter,HAHA,2/1/21,2:27 AM,original sound
Isabel,miscellaneous ,Miscellaneous,Laughter,NA,2/1/21,2:36 AM,original sound
Ayashe,One Direction,Music,Smile,Heart,2/1/21,9:51 AM,Ready or Not Bridget Mendler
Ayashe,One Direction,Music,Smile,Heart,2/1/21,9:52 AM,original sound
Ayashe,HSM,Movies,Laughter,HAHA,2/1/21,9:58 AM,Rewrite the Stars
Ayashe,Disney,Movies,Laughter,Emphasized,2/1/21,10:06 AM,original sound
Ayashe,miscellaneous ,Miscellaneous,Laughter,HAHA,2/1/21,10:19 AM,original sound
Isabel,miscellaneous ,Miscellaneous,Sadness,HAHA,2/1/21,11:49 AM,original sound
Ayashe,Avengers,Movies,Laughter,Heart,2/1/21,1:34 PM,I have been falling for 30 minutes!!
Ayashe,One Direction,Music,Laughter,HAHA,2/1/21,1:34 PM,original sound
Ayashe,One Direction,Music,Sadness,Thumbs Up,2/1/21,2:19 PM,original sound
Ayashe,OBX,TV Shows,Smile,Heart,2/1/21,2:25 PM,I'll be like yes daddy
Ayashe,miscellaneous ,Miscellaneous,Laughter,HAHA,2/1/21,4:29 PM,sirens
Isabel,Matthew Morrison,Actors,Laughter,HAHA,2/1/21,6:30 PM,What's a scene that genuinely scared you
Ayashe,miscellaneous ,Miscellaneous,Laughter,HAHA,2/1/21,6:40 PM,"Justin Timberlake ""Sexy Back"""
Ayashe,Trisha Paytas,Actors,Laughter,HAHA,2/1/21,7:42 PM,original sound
Ayashe,Olivia/Sabrina/Josh Drama,Actors,Laughter,HAHA,2/1/21,9:31 PM,Oh no I hope I don't fall
Isabel,Tik Tok Influencers,Actors,Annoyance,NA,2/1/21,10:02 PM,679 Fetty Wap
Ayashe,Biden,Political,Laughter,HAHA,2/1/21,10:16 PM,original sound
Ayashe,miscellaneous ,Miscellaneous,Laughter,NA,2/2/21,12:36 AM,
Ayashe,One Direction,Music,Laughter,HAHA,2/2/21,10:19 AM,
Ayashe,Matthew Morrison,Actors,Laughter,HAHA,2/2/21,10:34 AM,
Ayashe,One Direction,Music,Laughter,HAHA,2/2/21,10:39 AM,
Ayashe,Tom Holland,Actors,Smile,Heart,2/2/21,12:27 PM,
Isabel,PLL,TV Shows,Laughter,HAHA,2/2/21,12:38 PM,
Ayashe,miscellaneous ,Miscellaneous,Laughter,HAHA,2/2/21,2:40 PM,
Ayashe,trisha Paytas,Actors,Laughter,HAHA,2/2/21,3:31 PM,
Ayashe,Disney,Movies,Laughter,HAHA,2/2/21,4:14 PM,
Isabel,miscellaneous ,Miscellaneous,Laughter,HAHA,2/2/21,4:20 PM,
Ayashe,Star Wars,Movies,Laughter,HAHA,2/2/21,11:33 PM,
Isabel,miscellaneous ,Miscellaneous,Laughter,HAHA,2/3/21,3:12 AM,
Ayashe,One Direction,Music,Laughter,HAHA,2/3/21,10:21 AM,
Ayashe,Matthew Morrison,Actors,Laughter,HAHA,2/3/21,10:27 AM,
Ayashe,Avengers,Movies,Laughter,HAHA,2/3/21,10:28 AM,
Isabel,Gilmore Girls,TV Shows,Laughter,NA,2/3/21,1:31 PM,
Isabel,trisha Paytas,Actors,Laughter,NA,2/3/21,1:31 PM,
Isabel,miscellaneous ,Miscellaneous,Laughter,HAHA,2/3/21,2:01 PM,
Isabel,one Direction,Music,Laughter,HAHA,2/3/21,2:03 PM,
Isabel,Charlie Puth,Music,Laughter,HAHA,2/3/21,2:10 PM,
Isabel,Ted Talk Filter,Miscellaneous,Laughter,HAHA,2/3/21,3:29 PM,
Isabel,HSM,Movies,Laughter,HAHA,2/3/21,3:30 PM,
Isabel,trisha Paytas,Actors,Laughter,HAHA,2/3/21,3:37 PM,
Isabel,Harry Potter,Movies,Laughter,HAHA,2/3/21,4:03 PM,
Isabel,miscellaneous ,Miscellaneous,Laughter,HAHA,2/3/21,4:03 PM,
Isabel,TVD,TV Shows,Anger,Thumbs Down,2/3/21,4:05 PM,
Isabel,Dylan O'Brien,Actors,Laughter,NA,2/3/21,4:08 PM,
Isabel,Sexy Back song girls,Miscellaneous,Laughter,HAHA,2/3/21,4:13 PM,
Ayashe,miscellaneous ,Miscellaneous,Laughter,HAHA,2/3/21,4:28 PM,
Ayashe,one Direction,Music,Laughter,HAHA,2/3/21,4:28 PM,
Ayashe,Morgan Wallen,Music,Anger,NA,2/3/21,4:30 PM,
Ayashe,one Direction,Music,Laughter,HAHA,2/3/21,4:36 PM,
Ayashe,trisha Paytas,Actors,Laughter,HAHA,2/3/21,7:59 PM,
Ayashe,one Direction,Music,Laughter,HAHA,2/3/21,8:02 PM,
Ayashe,miscellaneous ,Miscellaneous,Anger,Thumbs Up,2/3/21,8:03 PM,
Ayashe,Morgan Wallen,Music,Laughter,HAHA,2/3/21,8:06 PM,
Ayashe,Ted Talk Filter,Miscellaneous,Laughter,HAHA,2/3/21,8:11 PM,
Ayashe,Riverdale,TV Shows,Laughter,HAHA,2/3/21,8:15 PM,
Ayashe,miscellaneous ,Miscellaneous,Laughter,HAHA,2/3/21,8:17 PM,
Ayashe,Olivia/Sabrina/Josh Drama,Actors,Smile,Heart,2/3/21,8:24 PM,
Ayashe,miscellaneous ,Miscellaneous,Laughter,HAHA,2/3/21,11:35 PM,
Isabel,miscellaneous ,Miscellaneous,Laughter,HAHA,2/4/21,2:55 AM,
Ayashe,one Direction,Music,Laughter,HAHA,2/4/21,10:27 AM,
Ayashe,trisha Paytas,Actors,Laughter,HAHA,2/4/21,11:09 AM,
Ayashe,Sexy Back song girls,Miscellaneous,Laughter,HAHA,2/4/21,1:40 PM,
Isabel,miscellaneous ,Miscellaneous,Laughter,HAHA,2/4/21,2:22 PM,
Isabel,miscellaneous ,Miscellaneous,Laughter,HAHA,2/4/21,2:28 PM,
Isabel,TVD,TV Shows,Laughter,HAHA,2/4/21,2:46 PM,
Ayashe,Tik Tok Influencers,Actors,Smile,Heart,2/4/21,4:58 PM,
Isabel,miscellaneous ,Miscellaneous,Laughter,HAHA,2/4/21,6:06 PM,
Isabel,Big Time Rush,Music,Laughter,HAHA,2/4/21,6:07 PM,
Ayashe,riverdale,TV Shows,Laughter,HAHA,2/4/21,6:13 PM,
Isabel,Covid stupidity,Political,Anger,Thumbs Down,2/4/21,6:14 PM,
Ayashe,miscellaneous ,Miscellaneous,Laughter,HAHA,2/4/21,7:18 PM,
Ayashe,tom Holland,Actors,Smile,Heart,2/4/21,10:04 PM,
Ayashe,political,Political,Laughter,Heart,2/4/21,10:05 PM,
Ayashe,riverdale,TV Shows,Laughter,NA,2/4/21,10:07 PM,
Ayashe,tvd,TV Shows,Laughter,HAHA,2/4/21,10:52 PM,
Isabel,miscellaneous ,Miscellaneous,Laughter,HAHA,2/5/21,1:04 AM,
Isabel,riverdale,TV Shows,Laughter,HAHA,2/5/21,1:11 AM,
Isabel,tvd,TV Shows,Laughter,HAHA,2/5/21,1:15 AM,
Isabel,one Direction,Music,Laughter,HAHA,2/5/21,1:20 AM,
Ayashe,riverdale,TV Shows,Laughter,HAHA,2/5/21,10:13 AM,
Ayashe,miscellaneous ,Movies,Laughter,HAHA,2/5/21,10:18 AM,
Ayashe,riverdale,TV Shows,Laughter,HAHA,2/5/21,10:23 AM,
Ayashe,miscellaneous ,Music,Laughter,HAHA,2/5/21,10:23 AM,
Ayashe,Harry Potter,Movies,Laughter,HAHA,2/5/21,10:25 AM,
Ayashe,one Direction,Music,Laughter,HAHA,2/5/21,10:53 AM,
Ayashe,Morgan Wallen,Music,Laughter,HAHA,2/5/21,10:54 AM,
Ayashe,Morgan Wallen,Music,Laughter,HAHA,2/5/21,1:51 PM,
Ayashe,one Direction,Music,Laughter,HAHA,2/5/21,2:51 PM,
Isabel,Tom Hiddleson,Actors,Laughter,HAHA,2/5/21,6:44 PM,
Isabel,riverdale,TV Shows,Laughter,NA,2/5/21,7:38 PM,
Isabel,tom Holland,Actors,Smile,Heart,2/5/21,7:45 PM,
Isabel,one Direction,Music,Annoyance,NA,2/5/21,8:01 PM,
Ayashe,Chris Evans,Actors,Smile,NA,2/5/21,8:09 PM,
Ayashe,one Direction,Music,Laughter,HAHA,2/5/21,8:13 PM,
Ayashe,one Direction,Music,Laughter,Emphasized,2/5/21,10:29 PM,
Isabel,tvd,TV Shows,Anger,NA,2/5/21,11:17 PM,
Isabel,miscellaneous ,Miscellaneous,Laughter,HAHA,2/5/21,11:30 PM,
Isabel,political,Political,Laughter,HAHA,2/5/21,11:42 PM,
Isabel,Disney,Movies,Laughter,HAHA,2/6/21,2:30 AM,
Isabel,tvd,TV Shows,Laughter,HAHA,2/6/21,2:30 AM,
Isabel,Avengers,Movies,Laughter,HAHA,2/6/21,2:32 AM,
Isabel,tvd,TV Shows,Laughter,Thumbs Down,2/6/21,2:35 AM,
Isabel,Disney,Movies,Laughter,HAHA,2/6/21,2:37 AM,
Isabel,tvd,TV Shows,Laughter,HAHA,2/6/21,2:47 AM,
Isabel,tvd,TV Shows,Laughter,HAHA,2/6/21,2:50 AM,
Ayashe,chirs evans,Actors,Laughter,HAHA,2/6/21,8:51 AM,
Ayashe,sebastian stan,Actors,Laughter,HAHA,2/6/21,10:25 AM,
Isabel,tom Holland,Actors,Laughter,NA,2/6/21,1:07 PM,
Isabel,Harry Potter,Movies,Laughter,NA,2/6/21,1:17 PM,
Isabel,tvd,TV Shows,Laughter,HAHA,2/6/21,4:26 PM,
Isabel,Avengers,Movies,Laughter,Heart,2/6/21,4:28 PM,
Isabel,Ross Lynch,Actors,Smile,Heart,2/6/21,4:29 PM,
Isabel,trisha Paytas,Actors,Laughter,HAHA,2/6/21,4:39 PM,
Isabel,tvd,TV Shows,Smile,NA,2/6/21,6:30 PM,
Isabel,joshua basset,Music,Smile,Heart,2/6/21,6:44 PM,
Isabel,tvd,TV Shows,Laughter,HAHA,2/6/21,6:59 PM,
Isabel,pll,TV Shows,Laughter,HAHA,2/6/21,7:30 PM,
Isabel,tvd,TV Shows,Laughter,HAHA,2/6/21,8:33 PM,
Ayashe,Jack Black,Actors,Laughter,HAHA,2/6/21,8:59 PM,
Ayashe,harry styles,Actors,Laughter,HAHA,2/6/21,9:39 PM,
Ayashe,james charles,Actors,Laughter,HAHA,2/6/21,9:45 PM,
Ayashe,one direction,Music,Laughter,HAHA,2/6/21,9:46 PM,
Ayashe,miscellaneous ,Miscellaneous,Laughter,HAHA,2/6/21,9:52 PM,
Ayashe,harry styles,Music,Laughter,HAHA,2/6/21,9:52 PM,
Ayashe,miscellaneous ,Miscellaneous,Laughter,HAHA,2/6/21,9:52 PM,
Ayashe,avengers,Movies,Laughter,Heart,2/6/21,9:57 PM,
Ayashe,chris Evans,Actors,Laughter,Heart,2/6/21,9:57 PM,
Ayashe,hsm,Movies,Laughter,HAHA,2/6/21,9:58 PM,
Ayashe,Morgan Wallen,Music,Laughter,HAHA,2/6/21,9:58 PM,
Isabel,miscellaneous ,Miscellaneous,Laughter,HAHA,2/7/21,2:42 PM,
Isabel,riverdale,TV Shows,Laughter,HAHA,2/7/21,12:23 PM,
Isabel,tom Holland,Actors,Laughter,HAHA,2/7/21,12:35 PM,
Isabel,tvd,TV Shows,Laughter,HAHA,2/7/21,12:36 PM,
Isabel,tvd,TV Shows,Laughter,HAHA,2/7/21,12:39 PM,
Isabel,glee,TV Shows,Laughter,HAHA,2/7/21,2:05 PM,
Isabel,disney,Movies,Laughter,HAHA,2/7/21,2:06 PM,
Isabel,riverdale,TV Shows,Laughter,NA,2/7/21,2:49 PM,
Isabel,sebastian stan,Actors,Smile,Heart,2/7/21,3:10 PM,
Isabel,sebastian stan,Actors,Laughter,HAHA,2/7/21,3:12 PM,
Ayashe,Armie Hammer,Actors,Laughter,HAHA,2/7/21,3:31 PM,
